,Compound,Date,Negative,Neutral,Positive,Text,Tweets Ago,User
85,0.0,Fri Mar 09 10:25:21 +0000 2018,1.0,0.0,0.0,Obamas 'in talks to make Netflix shows' https://t.co/KYEZSuTueG,86,BBCWorld
86,-0.6486,Fri Mar 09 09:30:24 +0000 2018,0.699,0.301,0.0,Jo Min-ki: South Korean actor found dead after #MeToo allegations https://t.co/AFtYavG3IV,87,BBCWorld
87,-0.5994,Fri Mar 09 09:26:26 +0000 2018,0.719,0.281,0.0,Syria war: UN aid convoy re-enters Eastern Ghouta amid 'calm' https://t.co/NDAoZ9yydb,88,BBCWorld
88,-0.4215,Fri Mar 09 09:18:58 +0000 2018,0.714,0.286,0.0,India allows 'living wills' for terminally ill https://t.co/YKgWtlKvqZ,89,BBCWorld
89,0.4019,Fri Mar 09 09:18:55 +0000 2018,0.803,0.0,0.197,Russian spy: Foreign minister says Russia willing to help in inquiry https://t.co/DGsNyBTzo6,90,BBCWorld
90,0.0,Fri Mar 09 09:01:49 +0000 2018,1.0,0.0,0.0,Tourist captures Sydney couple's marriage proposal https://t.co/4xP2j147u4,91,BBCWorld
91,-0.8074,Fri Mar 09 08:09:49 +0000 2018,0.684,0.316,0.0,RT @BBCNewsAsia: Authorities are struggling to contain a fire which has broken out in a chemical factory in the western state of Maharashtr…,92,BBCWorld
92,0.2023,Fri Mar 09 07:54:57 +0000 2018,0.795,0.0,0.205,Sikh separatist Atwal apologises over Trudeau event https://t.co/hHYBe50e8F,93,BBCWorld
93,-0.7717,Fri Mar 09 07:54:54 +0000 2018,0.472,0.528,0.0,Three dead in India chemical factory fire https://t.co/YKuyaIRLst,94,BBCWorld
94,0.0,Fri Mar 09 07:25:19 +0000 2018,1.0,0.0,0.0,Natthanan: the 10-year-old make-up artist https://t.co/CmJHcd8wTu,95,BBCWorld
95,0.2415,Fri Mar 09 07:19:21 +0000 2018,0.781,0.088,0.13,"RT @BBCSport: Billie Jean King has said men should not play five-set matches at  Grand Slams.

Full story👇
https://t.co/4jeP2GsT6f https://…",96,BBCWorld
96,0.2732,Fri Mar 09 06:15:00 +0000 2018,0.913,0.0,0.087,"In case you're just waking up: 

Obama is going to Netflix and Trump is going to North Korea. 

He has accepted an… https://t.co/siyJ0PXbck",97,BBCWorld
97,-0.128,Fri Mar 09 05:13:29 +0000 2018,0.8,0.2,0.0,Spain strike: 'Young women are incredible' https://t.co/xBkYHY3Hym,98,BBCWorld
98,-0.5994,Fri Mar 09 05:13:25 +0000 2018,0.606,0.394,0.0,Syria after seven years of war https://t.co/2sRQbl7Hvy,99,BBCWorld
99,0.0,Fri Mar 09 05:13:25 +0000 2018,1.0,0.0,0.0,Five ways to break up with plastic https://t.co/IrQl4QkqUy,100,BBCWorld
100,0.0,Fri Mar 09 05:10:05 +0000 2018,1.0,0.0,0.0,House Intel Committee plan to build physical wall is shelved https://t.co/GODMB7lpsr https://t.co/PTistn9Gst,1,CBSNews
101,-0.3818,Fri Mar 09 05:03:07 +0000 2018,0.776,0.224,0.0,Texas judge orders electric shocks for uncooperative defendant https://t.co/6OYVU9hLQX https://t.co/yqQQ39N3Ps,2,CBSNews
